[2026-07-20 13:54:34,399] 268 flwr - WARNING - DEPRECATED FEATURE: `client_fn` now expects a signature `def client_fn(context: Context)`.The provided `client_fn` has signature: {'cid': <Parameter "cid: str">}. You can import the `Context` like this: `from flwr.common import Context`

            This is a deprecated feature. It will be removed
            entirely in future versions of Flower.
        
[2026-07-20 13:54:39,424] 39 root - INFO - [Attacker] Label flip: 1 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,431] 39 root - INFO - [Attacker] Label flip: 0 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,441] 39 root - INFO - [Attacker] Label flip: 1 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,449] 39 root - INFO - [Attacker] Label flip: 1 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,457] 39 root - INFO - [Attacker] Label flip: 3 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,465] 39 root - INFO - [Attacker] Label flip: 0 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,473] 39 root - INFO - [Attacker] Label flip: 2 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,481] 39 root - INFO - [Attacker] Label flip: 1 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,489] 39 root - INFO - [Attacker] Label flip: 0 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,510] 39 root - INFO - [Attacker] Label flip: 1 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,519] 39 root - INFO - [Attacker] Label flip: 1 samples class 4 \u2192 class 0
[2026-07-20 13:54:39,528] 39 root - INFO - [Attacker] Label flip: 2 samples class 4 \u2192 class 0
